"id_pieza","nombre","familia","vehiculo_id","precio","canal_venta","stock_disponible"
"108","Llanta AleaciÃ³n","Ruedas","93","49","eBay","49"
"109","NeumÃ¡tico","Ruedas","44","68","Recambio Verde","3"
"110","Disco de freno","Frenos","11","79","Ovoko","2"
"111","Motor de arranque","Electricidad","23","154","Recambio Verde","12"
"112","Llanta AleaciÃ³n","Ruedas","31","79","Recambio Azul","38"
"113","Freno delantero","Frenos","79","107","eBay","17"
"114","Muelle","SuspensiÃ³n","59","69","Recambio Azul","3"
"115","Turbo","Motor","32","405","eBay","34"
"116","Freno delantero","Frenos","33","110","Wallapop","35"
"117","Motor de arranque","Electricidad","28","76","Recambio Verde","4"
"118","Alternador","Electricidad","87","77","eBay","30"
"119","Puerta","CarrocerÃ­a","49","133","Recambio Azul","49"
"120","Retrovisor","CarrocerÃ­a","14","356","Wallapop","4"
"121","Freno delantero","Frenos","98","60","Ovoko","23"
"122","Llanta AleaciÃ³n","Ruedas","84","98","Ovoko","24"
"123","Turbo","Motor","37","650","eBay","13"
"124","Volante","Interior","85","105","Ovoko","26"
"125","Retrovisor","CarrocerÃ­a","48","348","eBay","5"
"126","NeumÃ¡tico","Ruedas","33","53","Recambio Azul","15"
"127","Asiento","Interior","31","146","Recambio Azul","31"
"128","Muelle","SuspensiÃ³n","94","102","Ovoko","34"
"129","Retrovisor","CarrocerÃ­a","99","120","eBay","16"
"130","Alternador","Electricidad","26","73","Recambio Verde","47"
"131","Retrovisor","CarrocerÃ­a","5","376","Recambio Verde","48"
"132","Motor 2.0 TDI","Motor","6","760","Wallapop","30"
"133","Motor 1.6","Motor","61","426","eBay","49"
"134","Disco de freno","Frenos","86","73","Recambio Azul","1"
"135","Salpicadero","Interior","46","93","Recambio Azul","39"
"136","Llanta AleaciÃ³n","Ruedas","96","98","Recambio Verde","7"
"137","NeumÃ¡tico","Ruedas","56","50","eBay","25"
"138","Salpicadero","Interior","76","121","eBay","34"
"139","Llanta AleaciÃ³n","Ruedas","79","91","Recambio Azul","6"
"140","CapÃ³","CarrocerÃ­a","12","66","Recambio Verde","44"
"141","Volante","Interior","52","106","Wallapop","3"
"142","Amortiguador","SuspensiÃ³n","96","89","Wallapop","49"
"143","Puerta","CarrocerÃ­a","48","76","Recambio Azul","2"
"144","Motor de arranque","Electricidad","90","98","Recambio Azul","6"
"145","Salpicadero","Interior","14","100","Wallapop","45"
"146","NeumÃ¡tico","Ruedas","78","93","Recambio Verde","17"
"147","Muelle","SuspensiÃ³n","9","107","Recambio Verde","15"
"148","Llanta AleaciÃ³n","Ruedas","26","33","Wallapop","5"
"149","Salpicadero","Interior","75","137","Recambio Azul","20"
"150","NeumÃ¡tico","Ruedas","52","45","Recambio Verde","4"
"151","Freno trasero","Frenos","49","52","Ovoko","30"
"152","Asiento","Interior","4","48","Wallapop","43"
"153","Alternador","Electricidad","82","111","Ovoko","34"
"154","Amortiguador","SuspensiÃ³n","83","64","eBay","28"
"155","Llanta AleaciÃ³n","Ruedas","78","32","Recambio Azul","49"
"156","Llanta AleaciÃ³n","Ruedas","9","54","Recambio Verde","41"
"157","Llanta AleaciÃ³n","Ruedas","89","57","Recambio Verde","46"
"158","Puerta","CarrocerÃ­a","18","279","Ovoko","15"
"159","Muelle","SuspensiÃ³n","45","109","Ovoko","15"
"160","Alternador","Electricidad","93","124","eBay","44"
"161","Caja de cambios","Motor","92","528","Recambio Azul","28"
"162","Motor 2.0 TDI","Motor","30","599","eBay","43"
"163","Puerta","CarrocerÃ­a","87","333","Wallapop","49"
"164","Amortiguador","SuspensiÃ³n","14","65","Wallapop","35"
"165","Asiento","Interior","90","98","Recambio Azul","17"
"166","Freno delantero","Frenos","15","63","Ovoko","30"
"167","Amortiguador","SuspensiÃ³n","72","66","Recambio Verde","45"
"168","Muelle","SuspensiÃ³n","65","136","Recambio Verde","47"
"169","NeumÃ¡tico","Ruedas","62","31","Wallapop","19"
"170","Motor de arranque","Electricidad","6","68","Wallapop","5"
"171","Llanta AleaciÃ³n","Ruedas","40","66","Recambio Verde","35"
"172","Muelle","SuspensiÃ³n","54","71","Ovoko","5"
"173","Puerta","CarrocerÃ­a","29","270","eBay","15"
"174","Disco de freno","Frenos","9","78","Ovoko","13"
"175","Alternador","Electricidad","71","37","eBay","45"
"176","Llanta AleaciÃ³n","Ruedas","16","87","Recambio Verde","5"
"177","Llanta AleaciÃ³n","Ruedas","46","78","Ovoko","30"
"178","Freno delantero","Frenos","44","83","Wallapop","27"
"179","Llanta AleaciÃ³n","Ruedas","90","30","eBay","26"
"180","Muelle","SuspensiÃ³n","42","136","Recambio Verde","42"
"181","Salpicadero","Interior","9","73","Recambio Azul","30"
"182","Volante","Interior","80","145","Wallapop","24"
"183","Salpicadero","Interior","76","84","Recambio Verde","1"
"184","Motor 2.0 TDI","Motor","83","711","Recambio Verde","10"
"185","BaterÃ­a 12V","Electricidad","17","176","Wallapop","25"
"186","Retrovisor","CarrocerÃ­a","87","186","Recambio Verde","41"
"187","Muelle","SuspensiÃ³n","9","78","Wallapop","6"
"188","Freno delantero","Frenos","13","91","Ovoko","44"
"189","Motor 1.6","Motor","82","587","eBay","37"
"190","Puerta","CarrocerÃ­a","54","299","Wallapop","18"
"191","Amortiguador","SuspensiÃ³n","41","95","Ovoko","21"
"192","Asiento","Interior","13","77","Recambio Azul","43"
"193","Disco de freno","Frenos","46","53","Recambio Azul","14"
"194","Motor de arranque","Electricidad","84","132","Recambio Verde","11"
"195","Turbo","Motor","6","309","Recambio Azul","34"
"196","BaterÃ­a 12V","Electricidad","6","31","Recambio Azul","27"
"197","Disco de freno","Frenos","15","91","Recambio Azul","24"
"198","Muelle","SuspensiÃ³n","10","102","Wallapop","16"
"199","Muelle","SuspensiÃ³n","54","132","Recambio Verde","11"
"200","Asiento","Interior","93","140","eBay","3"
"201","Alternador","Electricidad","51","142","eBay","7"
"202","Salpicadero","Interior","90","43","Wallapop","42"
"203","CapÃ³","CarrocerÃ­a","68","223","eBay","46"
"204","Turbo","Motor","89","332","eBay","2"
"205","Freno delantero","Frenos","42","83","eBay","28"
"206","Freno trasero","Frenos","97","81","Wallapop","6"
"207","Turbo","Motor","52","292","Recambio Azul","24"
"208","Asiento","Interior","40","97","eBay","4"
"209","Puerta","CarrocerÃ­a","64","258","Recambio Azul","43"
"210","Freno trasero","Frenos","17","41","eBay","22"
"211","Motor de arranque","Electricidad","92","180","Recambio Verde","12"
"212","Llanta AleaciÃ³n","Ruedas","34","70","Recambio Azul","37"
"213","Salpicadero","Interior","63","57","Recambio Azul","7"
"214","Freno trasero","Frenos","79","94","Recambio Azul","4"
"215","Volante","Interior","27","136","Recambio Verde","13"
"216","Salpicadero","Interior","40","41","Ovoko","23"
"217","Disco de freno","Frenos","12","84","eBay","3"
"218","Retrovisor","CarrocerÃ­a","20","375","Wallapop","29"
"219","Volante","Interior","41","118","Recambio Azul","45"
"220","Disco de freno","Frenos","12","48","Recambio Verde","29"
"221","Amortiguador","SuspensiÃ³n","75","114","Ovoko","26"
"222","Alternador","Electricidad","69","117","Recambio Verde","1"
"223","Disco de freno","Frenos","20","110","Wallapop","32"
"224","Muelle","SuspensiÃ³n","60","106","Wallapop","24"
"225","Motor de arranque","Electricidad","2","45","Recambio Azul","36"
"226","Motor 2.0 TDI","Motor","78","792","Recambio Azul","16"
"227","Salpicadero","Interior","16","86","eBay","22"
"228","Amortiguador","SuspensiÃ³n","80","129","eBay","48"
"229","Asiento","Interior","40","139","Recambio Verde","39"
"230","Turbo","Motor","95","379","Recambio Azul","7"
"231","Retrovisor","CarrocerÃ­a","38","390","Recambio Azul","37"
"232","Retrovisor","CarrocerÃ­a","67","382","Wallapop","27"
"233","Motor 2.0 TDI","Motor","54","338","Recambio Verde","6"
"234","Caja de cambios","Motor","55","764","eBay","10"
"235","CapÃ³","CarrocerÃ­a","49","288","Recambio Azul","16"
"236","Freno delantero","Frenos","14","99","eBay","14"
"237","Disco de freno","Frenos","30","115","Recambio Azul","43"
"238","Llanta AleaciÃ³n","Ruedas","82","69","Recambio Verde","13"
"239","Salpicadero","Interior","82","128","Ovoko","25"
"240","Freno trasero","Frenos","36","92","Recambio Azul","1"
"241","Motor de arranque","Electricidad","75","108","Wallapop","7"
"242","Motor 1.6","Motor","74","400","Recambio Verde","20"
"243","Asiento","Interior","4","90","Recambio Azul","2"
"244","Freno trasero","Frenos","79","93","eBay","23"
"245","Llanta AleaciÃ³n","Ruedas","73","64","Recambio Verde","29"
"246","Amortiguador","SuspensiÃ³n","87","76","Ovoko","25"
"247","Muelle","SuspensiÃ³n","28","137","Recambio Azul","9"
"248","Amortiguador","SuspensiÃ³n","27","92","Ovoko","15"
"249","Alternador","Electricidad","30","61","Ovoko","20"
"250","Retrovisor","CarrocerÃ­a","2","288","Recambio Verde","37"
"251","CapÃ³","CarrocerÃ­a","25","212","Ovoko","33"
"252","Freno trasero","Frenos","19","101","Ovoko","19"
"253","BaterÃ­a 12V","Electricidad","63","180","eBay","31"
"254","Llanta AleaciÃ³n","Ruedas","74","36","Ovoko","42"
"255","Volante","Interior","44","108","Recambio Azul","19"
"256","CapÃ³","CarrocerÃ­a","88","155","Ovoko","37"
"257","Motor 1.6","Motor","68","524","eBay","18"
"258","Asiento","Interior","56","145","Recambio Verde","11"
"259","Retrovisor","CarrocerÃ­a","82","212","Wallapop","17"
"260","Turbo","Motor","10","378","eBay","19"
"261","Amortiguador","SuspensiÃ³n","59","68","Recambio Azul","10"
"262","Volante","Interior","22","87","eBay","1"
"263","CapÃ³","CarrocerÃ­a","59","335","eBay","28"
"264","Motor 2.0 TDI","Motor","86","316","Wallapop","47"
"265","Llanta AleaciÃ³n","Ruedas","64","56","Ovoko","8"
"266","Caja de cambios","Motor","79","483","eBay","24"
"267","Amortiguador","SuspensiÃ³n","77","141","Ovoko","33"
"268","Amortiguador","SuspensiÃ³n","48","93","Wallapop","41"
"269","Amortiguador","SuspensiÃ³n","11","129","Wallapop","26"
"270","Muelle","SuspensiÃ³n","6","85","Ovoko","44"
"271","Llanta AleaciÃ³n","Ruedas","99","58","Recambio Verde","41"
"272","Llanta AleaciÃ³n","Ruedas","74","57","eBay","16"
"273","Alternador","Electricidad","16","128","Ovoko","19"
"274","Freno trasero","Frenos","87","105","Wallapop","43"
"275","Amortiguador","SuspensiÃ³n","90","139","Wallapop","24"
"276","Amortiguador","SuspensiÃ³n","12","81","Wallapop","20"
"277","Volante","Interior","96","113","Wallapop","13"
"278","Asiento","Interior","9","65","eBay","3"
"279","Turbo","Motor","54","533","Recambio Verde","3"
"280","Llanta AleaciÃ³n","Ruedas","45","25","Wallapop","17"
"281","Turbo","Motor","51","601","Recambio Verde","7"
"282","Freno delantero","Frenos","95","61","Ovoko","27"
"283","Amortiguador","SuspensiÃ³n","19","134","Ovoko","19"
"284","BaterÃ­a 12V","Electricidad","38","65","Wallapop","49"
"285","BaterÃ­a 12V","Electricidad","96","94","eBay","28"
"286","Muelle","SuspensiÃ³n","82","111","Recambio Azul","15"
"287","CapÃ³","CarrocerÃ­a","25","88","Recambio Verde","24"
"288","BaterÃ­a 12V","Electricidad","51","86","Recambio Verde","43"
"289","Motor 1.6","Motor","37","213","Ovoko","1"
"290","Caja de cambios","Motor","37","272","eBay","47"
"291","Volante","Interior","72","139","Ovoko","15"
"292","Disco de freno","Frenos","85","89","Wallapop","7"
"293","Retrovisor","CarrocerÃ­a","84","127","Recambio Verde","8"
"294","Llanta AleaciÃ³n","Ruedas","87","93","eBay","40"
"295","Puerta","CarrocerÃ­a","81","393","Recambio Azul","6"
"296","Volante","Interior","15","110","Recambio Verde","31"
"297","BaterÃ­a 12V","Electricidad","86","36","Wallapop","49"
"298","Muelle","SuspensiÃ³n","22","143","eBay","1"
"299","Alternador","Electricidad","90","58","Ovoko","20"
"300","Llanta AleaciÃ³n","Ruedas","61","84","Recambio Verde","23"
"301","Caja de cambios","Motor","24","455","Ovoko","11"
"302","Puerta","CarrocerÃ­a","89","129","Wallapop","31"
"303","Motor de arranque","Electricidad","73","172","Recambio Verde","44"
"304","Motor de arranque","Electricidad","84","128","Recambio Verde","39"
"305","Muelle","SuspensiÃ³n","82","116","Recambio Verde","43"
"306","Muelle","SuspensiÃ³n","59","67","eBay","6"
"307","Llanta AleaciÃ³n","Ruedas","33","95","eBay","43"
"308","Salpicadero","Interior","1","79","Wallapop","10"
"309","Puerta","CarrocerÃ­a","82","222","Wallapop","14"
"310","Motor 2.0 TDI","Motor","24","555","Recambio Verde","25"
"311","NeumÃ¡tico","Ruedas","77","44","Ovoko","25"
"312","BaterÃ­a 12V","Electricidad","18","156","Recambio Azul","25"
"313","NeumÃ¡tico","Ruedas","40","63","Recambio Verde","28"
"314","Muelle","SuspensiÃ³n","58","149","eBay","43"
"315","Motor 1.6","Motor","61","499","Ovoko","2"
"316","Caja de cambios","Motor","91","704","Recambio Azul","36"
"317","Amortiguador","SuspensiÃ³n","99","146","Ovoko","2"
"318","Asiento","Interior","84","51","Ovoko","37"
"319","Puerta","CarrocerÃ­a","52","260","Recambio Azul","30"
"320","Volante","Interior","87","53","Recambio Azul","2"
"321","NeumÃ¡tico","Ruedas","61","58","Recambio Verde","10"
"322","Asiento","Interior","64","143","eBay","12"
"323","Motor de arranque","Electricidad","51","66","eBay","25"
"324","Volante","Interior","16","53","Recambio Verde","41"
"325","Amortiguador","SuspensiÃ³n","97","132","eBay","14"
"326","Turbo","Motor","24","324","Ovoko","21"
"327","Muelle","SuspensiÃ³n","71","139","Recambio Verde","31"
"328","Disco de freno","Frenos","51","55","Recambio Azul","48"
"329","Turbo","Motor","97","202","Wallapop","40"
"330","Freno trasero","Frenos","56","107","Wallapop","15"
"331","Caja de cambios","Motor","93","551","Recambio Verde","20"
"332","Llanta AleaciÃ³n","Ruedas","77","61","Wallapop","10"
"333","CapÃ³","CarrocerÃ­a","69","117","eBay","34"
"334","Caja de cambios","Motor","21","764","Recambio Verde","6"
"335","Salpicadero","Interior","34","149","eBay","30"
"336","CapÃ³","CarrocerÃ­a","62","325","Recambio Verde","22"
"337","BaterÃ­a 12V","Electricidad","14","49","eBay","1"
"338","NeumÃ¡tico","Ruedas","81","24","Recambio Verde","14"
"339","Alternador","Electricidad","59","107","Wallapop","44"
"340","Muelle","SuspensiÃ³n","23","79","Ovoko","36"
"341","Salpicadero","Interior","65","65","Recambio Verde","24"
"342","Muelle","SuspensiÃ³n","38","148","Recambio Azul","15"
"343","NeumÃ¡tico","Ruedas","1","74","Recambio Azul","2"
"344","Motor de arranque","Electricidad","90","54","Wallapop","43"
"345","Asiento","Interior","35","56","Recambio Verde","29"
"346","Alternador","Electricidad","99","92","Recambio Azul","28"
"347","Asiento","Interior","88","148","Recambio Azul","26"
"348","Volante","Interior","15","144","Ovoko","40"
"349","Amortiguador","SuspensiÃ³n","47","67","Ovoko","38"
"350","Volante","Interior","49","61","eBay","33"
"351","Asiento","Interior","86","139","Wallapop","48"
"352","Disco de freno","Frenos","41","45","Recambio Azul","42"
"353","Llanta AleaciÃ³n","Ruedas","61","89","Recambio Azul","18"
"354","Salpicadero","Interior","35","62","Wallapop","1"
"355","Motor de arranque","Electricidad","23","165","Recambio Azul","41"
"356","Motor de arranque","Electricidad","90","45","eBay","13"
"357","Muelle","SuspensiÃ³n","53","82","Ovoko","8"
"358","NeumÃ¡tico","Ruedas","39","41","Recambio Verde","8"
"359","Puerta","CarrocerÃ­a","53","381","Recambio Verde","33"
"360","Turbo","Motor","65","427","Recambio Verde","16"
"361","BaterÃ­a 12V","Electricidad","39","197","Wallapop","45"
"362","Amortiguador","SuspensiÃ³n","95","104","Recambio Azul","35"
"363","Freno delantero","Frenos","68","52","eBay","1"
"364","Motor de arranque","Electricidad","85","145","Wallapop","37"
"365","Asiento","Interior","60","118","Ovoko","9"
"366","Asiento","Interior","17","121","eBay","29"
"367","CapÃ³","CarrocerÃ­a","73","246","Wallapop","22"
"368","NeumÃ¡tico","Ruedas","90","80","eBay","17"
"369","Alternador","Electricidad","56","115","Ovoko","12"
"370","Freno delantero","Frenos","39","42","Recambio Verde","38"
"371","Freno delantero","Frenos","13","110","Ovoko","45"
"372","Retrovisor","CarrocerÃ­a","76","266","Recambio Verde","19"
"373","Amortiguador","SuspensiÃ³n","35","129","eBay","20"
"374","Retrovisor","CarrocerÃ­a","90","187","Recambio Azul","39"
"375","Motor 2.0 TDI","Motor","10","599","Wallapop","37"
"376","Puerta","CarrocerÃ­a","64","297","Recambio Azul","6"
"377","Retrovisor","CarrocerÃ­a","66","295","Ovoko","23"
"378","NeumÃ¡tico","Ruedas","11","21","Recambio Azul","4"
"379","Freno trasero","Frenos","91","97","Recambio Azul","37"
"380","Motor de arranque","Electricidad","63","155","Wallapop","9"
"381","Muelle","SuspensiÃ³n","52","84","Recambio Azul","30"
"382","Freno trasero","Frenos","85","59","Wallapop","11"
"383","Volante","Interior","1","77","Recambio Verde","38"
"384","Turbo","Motor","60","777","Recambio Verde","48"
"385","Disco de freno","Frenos","10","88","Recambio Azul","38"
"386","Disco de freno","Frenos","4","87","Recambio Azul","14"
"387","Muelle","SuspensiÃ³n","70","149","Recambio Verde","2"
"388","Disco de freno","Frenos","23","107","Recambio Verde","3"
"389","Puerta","CarrocerÃ­a","97","298","Wallapop","30"
"390","Muelle","SuspensiÃ³n","49","139","eBay","19"
"391","CapÃ³","CarrocerÃ­a","50","325","Ovoko","4"
"392","Volante","Interior","60","144","eBay","14"
"393","Turbo","Motor","93","238","Wallapop","8"
"394","Volante","Interior","53","124","eBay","39"
"395","Disco de freno","Frenos","75","55","eBay","10"
"396","Amortiguador","SuspensiÃ³n","84","117","Wallapop","43"
"397","Turbo","Motor","9","682","Wallapop","3"
"398","Llanta AleaciÃ³n","Ruedas","61","33","Recambio Azul","39"
"399","Llanta AleaciÃ³n","Ruedas","52","58","Wallapop","15"
"400","Asiento","Interior","89","141","Recambio Verde","42"
"401","BaterÃ­a 12V","Electricidad","89","78","Wallapop","35"
"402","Motor de arranque","Electricidad","7","182","Ovoko","25"
"403","Amortiguador","SuspensiÃ³n","76","145","Recambio Azul","21"
"404","Freno trasero","Frenos","40","76","Wallapop","21"
"405","CapÃ³","CarrocerÃ­a","11","304","Recambio Azul","38"
"406","Turbo","Motor","47","669","Ovoko","17"
"407","Motor de arranque","Electricidad","16","173","eBay","24"
"408","Freno delantero","Frenos","14","115","Ovoko","33"
"409","Puerta","CarrocerÃ­a","10","389","eBay","27"
"410","Muelle","SuspensiÃ³n","98","67","Recambio Azul","27"
"411","Volante","Interior","39","70","Ovoko","22"
"412","Retrovisor","CarrocerÃ­a","39","291","Wallapop","39"
"413","NeumÃ¡tico","Ruedas","55","34","Wallapop","41"
"414","Retrovisor","CarrocerÃ­a","58","353","Recambio Verde","23"
"415","Salpicadero","Interior","96","70","Wallapop","5"
"416","Disco de freno","Frenos","3","77","Ovoko","25"
"417","Motor 1.6","Motor","19","203","Ovoko","31"
"418","NeumÃ¡tico","Ruedas","75","75","Recambio Verde","41"
"419","NeumÃ¡tico","Ruedas","7","20","Wallapop","43"
"420","Turbo","Motor","19","615","Ovoko","31"
"421","Amortiguador","SuspensiÃ³n","43","70","Wallapop","25"
"422","Freno delantero","Frenos","26","79","Recambio Azul","17"
"423","Caja de cambios","Motor","86","422","eBay","23"
"424","Freno delantero","Frenos","58","97","Recambio Verde","5"
"425","Disco de freno","Frenos","69","69","Wallapop","16"
"426","BaterÃ­a 12V","Electricidad","36","48","eBay","19"
"427","Amortiguador","SuspensiÃ³n","11","105","Recambio Verde","39"
"428","Retrovisor","CarrocerÃ­a","9","160","Recambio Azul","1"
"429","BaterÃ­a 12V","Electricidad","63","71","Ovoko","13"
"430","Retrovisor","CarrocerÃ­a","23","286","Recambio Azul","16"
"431","BaterÃ­a 12V","Electricidad","8","32","Recambio Verde","23"
"432","Motor 1.6","Motor","3","249","Wallapop","5"
"433","Amortiguador","SuspensiÃ³n","5","68","Recambio Azul","13"
"434","Puerta","CarrocerÃ­a","58","161","Recambio Azul","37"
"435","Motor de arranque","Electricidad","81","93","Recambio Verde","28"
"436","Motor de arranque","Electricidad","46","163","eBay","5"
"437","Freno delantero","Frenos","60","86","Ovoko","23"
"438","Llanta AleaciÃ³n","Ruedas","71","75","Recambio Verde","4"
"439","Alternador","Electricidad","39","127","Wallapop","31"
"440","NeumÃ¡tico","Ruedas","11","52","Recambio Verde","23"
"441","Volante","Interior","84","54","Ovoko","30"
"442","Retrovisor","CarrocerÃ­a","15","352","Wallapop","1"
"443","Motor de arranque","Electricidad","63","174","Ovoko","44"
"444","Llanta AleaciÃ³n","Ruedas","86","50","Wallapop","16"
"445","BaterÃ­a 12V","Electricidad","63","188","Wallapop","23"
"446","Salpicadero","Interior","85","80","Recambio Azul","46"
"447","Volante","Interior","81","78","Recambio Azul","29"
"448","Puerta","CarrocerÃ­a","37","71","Wallapop","23"
"449","Freno delantero","Frenos","71","54","Recambio Verde","2"
"450","BaterÃ­a 12V","Electricidad","77","157","Wallapop","15"
